AccessTime,LOName,studentID
2017-01-24T14:07:39.854100+00:00,Security and Privacy: Download PDF,student020@smartlearning.edu
2017-01-24T14:07:38.047900+00:00,Same+Origin+Policy,student020@smartlearning.edu
2017-01-24T14:07:24.091500+00:00,Web of Things: PDF Download,student020@smartlearning.edu
2017-01-24T14:07:19.933700+00:00,Web+of+Things,student020@smartlearning.edu
2017-01-24T14:07:09.056300+00:00,Predictive+Data+Mining+and+Recommendation+Engines,student020@smartlearning.edu
2017-01-24T14:07:00.597600+00:00,Technical+Issues+in+Recommendation+Engines,student020@smartlearning.edu
2017-01-24T14:06:50.770200+00:00,Recommendation+Engine+-+Concepts,student020@smartlearning.edu
2017-01-24T14:06:28.990100+00:00,Multiscreen PDF Download,student020@smartlearning.edu
2017-01-24T14:06:26.107900+00:00,Multiscreen+in+Action,student020@smartlearning.edu
2017-01-24T14:06:03.935400+00:00,Download TV Apps PDF,student020@smartlearning.edu
2017-01-24T14:06:01.995100+00:00,HbbTV+-+Basics,student020@smartlearning.edu
2017-01-24T14:05:54.357700+00:00,Web Basics: Download PDF,student020@smartlearning.edu
2017-01-24T14:05:53.185700+00:00,HTTP,student020@smartlearning.edu
2017-01-24T14:05:40.104900+00:00,Download PDF,student020@smartlearning.edu
2017-01-24T14:05:38.720700+00:00,Modulinformation,student020@smartlearning.edu
2017-01-24T14:05:31.867700+00:00,Web and Media I: Download PDF,student020@smartlearning.edu
2017-01-24T14:05:29.434300+00:00,Web and Media II: Download PDF,student020@smartlearning.edu
2017-01-24T14:05:25.522200+00:00,Digital+Rights+Management,student020@smartlearning.edu
2017-01-24T14:03:53.156100+00:00,Web and Media II: Download PDF,student020@smartlearning.edu
2017-01-24T14:03:49.237100+00:00,Web and Media I: Download PDF,student020@smartlearning.edu
2017-01-24T14:03:45.420400+00:00,Motivation,student020@smartlearning.edu
2017-01-24T14:01:40.926900+00:00,Web Basics: Download PDF,student020@smartlearning.edu
2017-01-24T14:01:39.203200+00:00,Web+App+-+Basics,student020@smartlearning.edu
2017-01-24T14:01:04.726900+00:00,Web Basics: Download PDF,student020@smartlearning.edu
2017-01-24T14:01:01.304400+00:00,DNS,student020@smartlearning.edu
2017-01-24T14:00:51.728200+00:00,Download PDF,student020@smartlearning.edu
2017-01-24T14:00:47.293600+00:00,W3C Überblick,student020@smartlearning.edu
2017-01-24T14:00:47.156300+00:00,Web+Standards+am+Beispiel+des+W3C,student020@smartlearning.edu
2017-01-24T14:00:40.064900+00:00,TV Apps,student020@smartlearning.edu
2017-01-24T14:00:37.698800+00:00,New Trends: Interactive Video & VR/360° Video,student020@smartlearning.edu
2017-01-24T14:00:34.107600+00:00,"Why Video is big, and will continue to grow",student020@smartlearning.edu
2017-01-24T14:00:30.757500+00:00,Video Drives the Internet,student020@smartlearning.edu
2017-01-24T14:00:21.611000+00:00,Download PDF,student020@smartlearning.edu
2017-01-24T14:00:15.640500+00:00,Video Drives the Internet,student020@smartlearning.edu
2017-01-24T14:00:12.682700+00:00,Einführung+zu+Video,student020@smartlearning.edu
2017-01-24T14:00:05.494600+00:00,"BA, MA and Project Topics",student020@smartlearning.edu
2017-01-24T14:00:00.105500+00:00,Ziele der Vorlesung,student020@smartlearning.edu
2017-01-24T13:59:58.425000+00:00,Modulanmeldung,student020@smartlearning.edu
2017-01-24T13:59:56.383900+00:00,Modul Advanced Web Technologies,student020@smartlearning.edu
2017-01-24T13:59:38.224000+00:00,Download PDF,student020@smartlearning.edu
2017-01-24T13:59:35.151700+00:00,Modulanmeldung,student020@smartlearning.edu
2017-01-24T13:59:33.117800+00:00,Modulinformation,student020@smartlearning.edu
2017-01-24T13:59:30.174300+00:00,Modulinformation,student020@smartlearning.edu
2017-01-24T13:59:02.211600+00:00,Download PDF,student020@smartlearning.edu
2017-01-24T13:59:00.163700+00:00,Über+Fraunhofer,student020@smartlearning.edu
2017-01-24T13:58:30.412500+00:00,Download PDF,student020@smartlearning.edu
2017-01-24T13:58:27.936100+00:00,Modulinformation,student020@smartlearning.edu
2017-01-24T13:14:21.633000+00:00,FOKUS Media Web Week,student020@smartlearning.edu
2017-01-24T13:14:14.551200+00:00,Fraunhofer Standorte in Deutschland,student020@smartlearning.edu
2017-01-24T13:14:09.895500+00:00,Fraunhofer FOKUS,student020@smartlearning.edu
2017-01-24T13:14:05.653800+00:00,Fraunhofer FOKUS,student020@smartlearning.edu
2017-01-24T13:13:46.479400+00:00,Download PDF,student020@smartlearning.edu
2017-01-24T13:13:40.916700+00:00,Fraunhofer Standorte in Deutschland,student020@smartlearning.edu
2017-01-24T13:13:39.078300+00:00,Fraunhofer FOKUS,student020@smartlearning.edu
2017-01-24T13:13:27.114100+00:00,Download PDF,student020@smartlearning.edu
2017-01-24T13:13:24.841900+00:00,Über+Fraunhofer,student020@smartlearning.edu
2017-01-24T13:12:51.421800+00:00,Über+Fraunhofer,student020@smartlearning.edu
2017-01-24T12:44:30.179400+00:00,Download PDF,student006@smartlearning.edu
2017-01-24T12:44:24.705400+00:00,Web+Standards+am+Beispiel+des+W3C,student006@smartlearning.edu
2017-01-24T12:43:37.649100+00:00,Security and Privacy: Download PDF,student006@smartlearning.edu
2017-01-24T12:43:33.901600+00:00,Clientside+Data+Encryption+and+Decryption,student006@smartlearning.edu
2017-01-24T12:43:18.574700+00:00,Security and Privacy: Download PDF,student006@smartlearning.edu
2017-01-24T12:43:12.807700+00:00,Content+Security+Policy,student006@smartlearning.edu
2017-01-24T12:37:31.383600+00:00,Technical+Issues+in+Recommendation+Engines,student006@smartlearning.edu
2017-01-24T12:37:11.229200+00:00,Recommender Slides,student006@smartlearning.edu
2017-01-24T12:37:02.653300+00:00,Context+and+Semantic,student006@smartlearning.edu
2017-01-24T12:36:36.813800+00:00,Multiscreen PDF Download,student006@smartlearning.edu
2017-01-24T12:36:34.479100+00:00,PC+and+Companion+Devices,student006@smartlearning.edu
2017-01-24T12:36:01.193700+00:00,Stream+Analysis,student006@smartlearning.edu
2017-01-24T12:35:44.155600+00:00,Web and Media I: Download PDF,student006@smartlearning.edu
2017-01-24T12:35:42.838100+00:00,Web and Media II: Download PDF,student006@smartlearning.edu
2017-01-24T12:35:41.671200+00:00,Web and Media I: Download PDF,student006@smartlearning.edu
2017-01-24T12:35:38.490000+00:00,Performance metrics in DASH.js 2,student006@smartlearning.edu
2017-01-24T12:35:34.384800+00:00,Web and Media I: Download PDF,student006@smartlearning.edu
2017-01-24T12:35:27.631500+00:00,Web and Media II: Download PDF,student006@smartlearning.edu
2017-01-24T12:35:20.653200+00:00,Web and Media I: Download PDF,student006@smartlearning.edu
2017-01-24T12:35:12.234300+00:00,HTTP+Adaptive+Streaming+and+MPEG+DASH,student006@smartlearning.edu
2017-01-24T12:33:00.373700+00:00,Web Basics: Download PDF,student006@smartlearning.edu
2017-01-24T12:32:55.360400+00:00,Packaged+Web+Apps,student006@smartlearning.edu
2017-01-24T12:32:36.027400+00:00,Web Basics: Download PDF,student006@smartlearning.edu
2017-01-24T12:32:34.328000+00:00,HTTP,student006@smartlearning.edu
2017-01-24T12:32:17.067000+00:00,Web Basics: Download PDF,student006@smartlearning.edu
2017-01-24T12:32:14.538000+00:00,DNS,student006@smartlearning.edu
2017-01-24T12:31:53.132100+00:00,Download PDF,student006@smartlearning.edu
2017-01-24T12:31:39.640400+00:00,Web+Standards+am+Beispiel+des+W3C,student006@smartlearning.edu
2017-01-24T12:31:09.409600+00:00,Download PDF,student006@smartlearning.edu
2017-01-24T12:31:01.989300+00:00,Einführung+zu+Video,student006@smartlearning.edu
2017-01-24T12:30:50.574500+00:00,Modul Advanced Web Technologies,student006@smartlearning.edu
2017-01-24T12:30:45.381900+00:00,Modulinformation,student006@smartlearning.edu
2017-01-24T12:30:32.879800+00:00,Download PDF,student006@smartlearning.edu
2017-01-24T12:30:29.435000+00:00,Student Projects & Theses,student006@smartlearning.edu
2017-01-24T12:30:28.324800+00:00,"BA, MA and Project Topics",student006@smartlearning.edu
2017-01-24T12:30:26.023200+00:00,Ziele der Vorlesung,student006@smartlearning.edu
2017-01-24T12:30:24.238900+00:00,Modulanmeldung,student006@smartlearning.edu
2017-01-24T12:30:21.526200+00:00,Modul Advanced Web Technologies,student006@smartlearning.edu
2017-01-24T12:30:20.065200+00:00,Modulinformation,student006@smartlearning.edu
2017-01-24T12:30:13.708000+00:00,Modulinformation,student006@smartlearning.edu
2017-01-24T12:29:58.888600+00:00,Data Mining,student006@smartlearning.edu
2017-01-24T12:29:58.874600+00:00,Meta Data Attributes,student006@smartlearning.edu
2017-01-24T12:29:58.862800+00:00,Learning Algorithms,student006@smartlearning.edu
2017-01-24T12:29:58.041200+00:00,Social Network Analysis - Community Detection,student006@smartlearning.edu
2017-01-24T12:29:57.790000+00:00,Social Network Analysis - Centrality,student006@smartlearning.edu
2017-01-24T12:29:57.500700+00:00,Social Network Analysis - Betweenness / Closeness,student006@smartlearning.edu
2017-01-24T12:29:57.268800+00:00,Semantic Analysis,student006@smartlearning.edu
2017-01-24T12:29:54.476100+00:00,Semantic Analysis 2,student006@smartlearning.edu
2017-01-24T12:29:43.790900+00:00,Data+Mining,student006@smartlearning.edu
2017-01-24T12:29:34.387800+00:00,Streaming Media Stack,student006@smartlearning.edu
2017-01-24T12:29:30.868500+00:00,Delivering Media: Tech to understand,student006@smartlearning.edu
2017-01-24T12:29:30.201600+00:00,Streaming Media Stack,student006@smartlearning.edu
2017-01-24T12:29:29.980800+00:00,MSE/EME,student006@smartlearning.edu
2017-01-24T12:29:29.813000+00:00,MSE/EME 2,student006@smartlearning.edu
2017-01-24T12:29:29.653900+00:00,Overview of HTTP streaming,student006@smartlearning.edu
2017-01-24T12:29:29.600400+00:00,MPEG-DASH file format,student006@smartlearning.edu
2017-01-24T12:29:29.599300+00:00,MPEG-DASH - Scope,student006@smartlearning.edu
2017-01-24T12:29:29.084200+00:00,MPEG-DASH - MPD Example,student006@smartlearning.edu
2017-01-24T12:29:28.893500+00:00,Common Encryption (CENC),student006@smartlearning.edu
2017-01-24T12:29:28.622200+00:00,Common Encryption (CENC) 2,student006@smartlearning.edu
2017-01-24T12:29:28.152000+00:00,Protection System Header Box,student006@smartlearning.edu
